condition2,trialNo,target,condition1,mRating_irrational,mRating_improbable,mRating_immoral,mRating_abnormal,mRating_goodness,poss_resp_sp,poss_RT_sp,poss_resp_rf,poss_RT_rf,could_resp_sp,could_RT_sp,could_resp_rf,could_RT_rf,may_resp_sp,may_RT_sp,may_resp_rf,may_RT_rf,might_resp_sp,might_RT_sp,might_resp_rf,might_RT_rf,ought_resp_sp,ought_RT_sp,ought_resp_rf,ought_RT_rf,should_resp_sp,should_RT_sp,should_resp_rf,should_RT_rf
24,463,Blame another person at the library,immoral,2.75,3.130434782608696,1.6486486486486487,2.909090909090909,,0.7777777777777778,988.6444444444444,0.7727272727272727,2112.318181818182,0.7291666666666666,1029.4375,0.7222222222222222,3259.5,0.5434782608695652,1033.108695652174,0.5454545454545454,1992.409090909091,0.6666666666666666,1053.6,0.35294117647058826,2253.4117647058824,0.16666666666666666,1055.75,0.3333333333333333,2085.5333333333333,0.09090909090909091,1017.6136363636364,0.2,2458.8
24,464,Pretend to be deaf,immoral,1.36,1.434782608695652,1.4864864864864864,1.2727272727272727,,0.425531914893617,980.1063829787234,0.5789473684210527,2452.1052631578946,0.4897959183673469,1045.6734693877552,0.6111111111111112,4050.6666666666665,0.23404255319148937,984.5106382978723,0.45454545454545453,2948.3636363636365,0.1875,1027.4166666666667,0.5,3466.875,0.0851063829787234,887.063829787234,0.0,2703.125,0.06666666666666667,922.7333333333333,0.1111111111111111,2951.4444444444443
24,465,Convince her she doesn't need it,improbable,1.72,1.1304347826086956,1.7297297297297298,1.303030303030303,,0.5555555555555556,1059.3555555555556,0.3333333333333333,3561.740740740741,0.6666666666666666,1118.2083333333333,0.35,6685.6,0.21428571428571427,1097.6666666666667,0.35,3612.45,0.23404255319148937,1146.6170212765958,0.06666666666666667,1930.8,0.09090909090909091,1084.2045454545455,0.0,1773.125,0.14285714285714285,1131.7142857142858,0.0,2306.4
24,466,Spot the bag on the ceiling,improbable,4.04,3.5217391304347827,4.2,3.5757575757575757,,0.2826086956521739,1011.8913043478261,0.125,2382.5,0.125,1059.2291666666667,0.23529411764705882,3720.470588235294,0.15555555555555556,1036.8666666666666,0.0,2177.230769230769,0.13043478260869565,1079.8695652173913,0.1111111111111111,1830.5555555555557,0.19148936170212766,1080.0425531914893,0.15384615384615385,2554.769230769231,0.18604651162790697,1019.2790697674419,0.16666666666666666,2408.3888888888887
24,467,Discover the woman deliberately hid it,improbable,2.625,1.7826086956521738,3.142857142857143,1.7878787878787878,,0.5,1145.595238095238,0.7105263157894737,2733.684210526316,0.6041666666666666,1223.8958333333333,0.5172413793103449,3796.137931034483,0.37777777777777777,1169.5777777777778,0.42424242424242425,2746.909090909091,0.3076923076923077,1226.3076923076924,0.07142857142857142,2151.464285714286,0.13636363636363635,1144.409090909091,0.09523809523809523,2149.6666666666665,0.23255813953488372,1154.6511627906978,0.3870967741935484,2989.7096774193546
24,468,Realize the bag was never missing,improbable,2.6818181818181817,2.3043478260869565,3.5,2.484848484848485,,0.5217391304347826,1145.0434782608695,0.5151515151515151,2415.4545454545455,0.5365853658536586,1158.2926829268292,0.5666666666666667,2273.4,0.34782608695652173,1166.9347826086957,0.4,2292.52,0.2619047619047619,1171.1666666666667,0.43478260869565216,2124.6521739130435,0.13953488372093023,1127.6511627906978,0.2631578947368421,2088.1052631578946,0.2619047619047619,1120.095238095238,0.3448275862068966,2244.2413793103447
24,469,Start singing famous opera ballads,irrational,1.0,1.0869565217391304,2.6363636363636362,1.0625,,0.3170731707317073,1028.219512195122,0.6190476190476191,2477.2380952380954,0.3181818181818182,1089.590909090909,0.45454545454545453,4731.727272727273,0.1590909090909091,1073.090909090909,0.5384615384615384,2923.0,0.023255813953488372,984.2093023255813,0.09090909090909091,3254.5454545454545,0.02127659574468085,1023.2978723404256,0.15384615384615385,2152.769230769231,0.11627906976744186,974.9302325581396,0.42857142857142855,2279.9285714285716
24,470,Build a new bag out of pencils,irrational,1.1363636363636365,1.0,2.1333333333333333,1.15625,,0.19148936170212766,1013.3404255319149,0.05555555555555555,2605.4444444444443,0.08695652173913043,1056.2391304347825,0.0,4013.6,0.045454545454545456,1063.7272727272727,0.08333333333333333,4469.833333333333,0.0,1014.8604651162791,0.0,1973.5714285714287,0.06666666666666667,993.4666666666667,0.07692307692307693,2234.846153846154,0.08888888888888889,1010.0,0.07142857142857142,2279.0714285714284
24,471,Search for the bag inside a dictionary,irrational,1.1304347826086956,1.0,2.6153846153846154,1.15625,,0.6136363636363636,1133.0454545454545,0.13513513513513514,2858.2972972972975,0.5531914893617021,1107.8085106382978,0.0967741935483871,2830.548387096774,0.45454545454545453,1153.9545454545455,0.08,2272.84,0.3333333333333333,1155.974358974359,0.0,1904.65,0.4523809523809524,1128.7142857142858,0.0,2110.8,0.55,1122.375,0.11428571428571428,2512.542857142857
24,472,Look for the bag on the ceiling,irrational,1.24,1.391304347826087,2.7058823529411766,1.125,,0.3541666666666667,1088.2708333333333,0.28,3171.36,0.2857142857142857,1092.3265306122448,0.42857142857142855,2535.0714285714284,0.24444444444444444,1040.3111111111111,0.3333333333333333,2271.8333333333335,0.1956521739130435,1020.2173913043479,0.14285714285714285,1817.857142857143,0.1956521739130435,1036.3695652173913,0.1,2517.8,0.3333333333333333,1009.0952380952381,0.2857142857142857,2808.5714285714284
25,473,Promise him cake when he gets home,ordinary,2.28,2.1739130434782608,2.4054054054054053,2.393939393939394,,0.7380952380952381,1149.7142857142858,0.78125,2813.84375,0.5789473684210527,1225.157894736842,0.8148148148148148,5924.851851851852,0.6842105263157895,1220.157894736842,0.5757575757575758,3046.818181818182,0.5714285714285714,1200.8809523809523,0.3793103448275862,2928.7586206896553,0.3055555555555556,1178.2777777777778,0.28125,2480.71875,0.4358974358974359,1191.3076923076924,0.4411764705882353,2984.9117647058824
25,474,Go buy a nut-free dessert,ordinary,4.76,4.304347826086956,4.756756756756757,4.757575757575758,,0.7659574468085106,1001.8297872340426,0.9444444444444444,2306.722222222222,0.9148936170212766,1078.2553191489362,1.0,4610.222222222223,0.8863636363636364,1021.8181818181819,0.9375,2891.3125,0.8163265306122449,1071.6938775510205,0.8823529411764706,2034.0,0.8125,1036.4375,1.0,2381.222222222222,0.8409090909090909,1024.340909090909,0.9047619047619048,2875.904761904762
25,475,Serve ice cream instead,ordinary,4.56,3.782608695652174,4.486486486486487,4.636363636363637,,0.9148936170212766,876.5106382978723,1.0,2286.4615384615386,0.9166666666666666,1013.625,0.75,2281.0,0.9166666666666666,973.5416666666666,0.9411764705882353,2431.294117647059,0.96,1001.12,0.9166666666666666,2410.25,0.8125,992.2708333333334,0.8823529411764706,2047.9411764705883,0.8478260869565217,963.5,0.9411764705882353,3034.705882352941
25,476,Give the child a toy instead,ordinary,3.68,3.0,3.972972972972973,3.242424242424242,,0.7954545454545454,1003.7954545454545,0.9545454545454546,2479.818181818182,0.851063829787234,1058.8297872340424,0.9473684210526315,2179.2105263157896,0.6521739130434783,1060.0652173913043,0.8421052631578947,3093.1052631578946,0.7916666666666666,1085.0208333333333,0.6666666666666666,2848.8571428571427,0.5333333333333333,1038.3777777777777,0.5652173913043478,2659.217391304348,0.6382978723404256,1103.404255319149,0.75,2391.4166666666665
25,477,Zap the nuts from the cake,impossible,1.0,1.0952380952380953,3.9411764705882355,1.09375,,0.043478260869565216,903.5652173913044,0.2222222222222222,3166.3333333333335,0.06382978723404255,1027.9574468085107,0.1,3804.5,0.1276595744680851,1008.2553191489362,0.0,2525.3,0.0625,1001.375,0.2,5454.0,0.06666666666666667,931.2666666666667,0.125,1986.0,0.11363636363636363,957.5227272727273,0.4,3062.4
25,478,Modify genetics to eliminate allergies,impossible,1.4,1.0869565217391304,3.2857142857142856,1.03125,,0.08695652173913043,1002.5,0.0,2500.176470588235,0.09090909090909091,1126.0,0.0,2648.909090909091,0.045454545454545456,1077.9545454545455,0.14285714285714285,3642.5,0.0425531914893617,1099.8510638297873,0.0,1944.7857142857142,0.0625,1077.4166666666667,0.10526315789473684,2301.842105263158,0.1111111111111111,1019.2666666666667,0.21052631578947367,2754.684210526316
